iter	Passed	Remaining
212	489	1810
213	491	1805
214	493	1800
215	494	1795
216	496	1790
217	498	1787
218	500	1784
219	501	1779
220	503	1775
221	505	1770
222	506	1765
223	508	1760
224	509	1755
225	511	1751
226	513	1749
227	515	1745
228	517	1740
229	518	1736
230	520	1732
231	521	1727
232	523	1722
233	524	1718
234	526	1713
235	529	1712
236	530	1709
237	532	1704
238	533	1700
239	535	1695
240	537	1691
241	538	1687
242	540	1683
243	541	1678
244	544	1678
245	546	1675
246	548	1670
247	549	1666
248	551	1662
249	552	1658
250	554	1654
251	555	1650
252	557	1646
253	560	1645
254	561	1641
255	563	1637
256	565	1633
257	566	1629
258	568	1625
259	569	1621
260	571	1617
261	573	1614
262	575	1612
263	577	1608
264	578	1605
265	580	1601
266	581	1597
267	583	1594
268	585	1590
269	587	1587
270	588	1583
271	590	1581
272	592	1578
273	594	1574
274	596	1571
275	597	1567
276	599	1564
277	600	1560
278	602	1556
279	604	1553
280	606	1551
281	608	1549
282	610	1545
283	611	1542
284	613	1538
285	614	1535
286	616	1531
287	618	1528
288	620	1526
289	622	1523
290	624	1521
291	625	1517
292	627	1514
293	629	1510
294	630	1507
295	632	1504
296	634	1500
297	636	1499
298	638	1496
299	640	1493
300	641	1490
301	643	1487
302	646	1486
303	647	1482
304	649	1480
305	652	1479
306	654	1476
307	655	1473
308	657	1470
309	658	1466
310	660	1463
311	662	1461
312	664	1459
313	667	1458
314	669	1456
315	671	1452
316	672	1449
317	674	1446
318	676	1443
319	677	1440
320	679	1437
321	682	1436
322	684	1434
323	685	1430
324	687	1427
325	689	1424
326	690	1421
327	692	1419
328	694	1415
329	697	1415
330	699	1412
331	700	1410
332	702	1407
333	705	1407
334	707	1404
335	709	1401
336	711	1399
337	713	1397
338	715	1394
339	717	1392
340	719	1390
341	721	1388
342	722	1384
343	724	1381
344	726	1379
345	728	1377
346	730	1374
347	732	1371
348	733	1368
349	735	1365
350	736	1361
351	737	1358
352	739	1354
353	741	1352
354	742	1349
355	744	1347
356	746	1344
357	747	1341
358	749	1337
359	750	1334
360	752	1331
361	753	1327
362	755	1325
363	756	1322
364	758	1319
365	760	1316
366	761	1313
367	762	1309
368	764	1306
369	765	1303
370	766	1299
371	768	1296
372	769	1293
373	771	1291
374	773	1288
375	774	1285
376	776	1282
377	777	1279
378	778	1276
379	780	1273
380	781	1269
381	782	1266
382	784	1263
383	786	1261
384	788	1258
385	789	1256
386	791	1253
387	792	1250
388	793	1247
389	795	1244
390	796	1240
391	798	1237
392	799	1235
393	801	1233
394	803	1230
395	804	1227
396	806	1224
397	807	1221
398	809	1218
399	810	1215
400	811	1212
401	812	1209
402	814	1206
403	816	1204
404	818	1201
405	819	1199
406	821	1196
407	822	1193
408	823	1190
409	825	1187
410	826	1184
411	827	1181
412	829	1178
413	831	1176
414	832	1174
415	834	1171
416	836	1168
417	837	1166
418	838	1163
419	840	1160
420	841	1157
421	842	1154
422	844	1151
423	846	1149
424	848	1147
425	849	1145
426	851	1142
427	852	1139
428	853	1136
429	855	1133
430	856	1130
431	857	1127
432	859	1124
433	861	1123
434	862	1120
435	864	1118
436	865	1115
437	867	1112
438	868	1109
439	869	1107
440	871	1104
441	872	1101
442	873	1098
443	876	1097
444	877	1094
445	879	1092
446	880	1089
447	882	1087
448	883	1084
449	885	1081
450	886	1078
451	887	1076
452	890	1074
453	891	1072
454	893	1070
