iter	Passed	Remaining
511	895	853
512	897	851
513	898	849
514	899	847
515	901	845
516	903	843
517	904	841
518	906	840
519	908	838
520	909	836
521	911	834
522	913	832
523	914	830
524	916	828
525	917	826
526	918	824
527	920	822
528	922	821
529	923	819
530	925	817
531	926	815
532	928	813
533	929	811
534	931	809
535	933	807
536	935	806
537	937	804
538	939	803
539	940	801
540	942	799
541	943	797
542	944	795
543	946	793
544	947	791
545	948	788
546	950	787
547	952	785
548	953	783
549	954	781
550	956	779
551	957	777
552	959	775
553	960	773
554	961	771
555	963	769
556	964	767
557	966	765
558	967	763
559	968	761
560	970	759
561	971	757
562	972	755
563	974	753
564	975	751
565	976	749
566	978	747
567	979	744
568	981	743
569	982	741
570	984	739
571	985	737
572	986	735
573	988	733
574	989	731
575	990	729
576	991	727
577	993	725
578	994	723
579	995	721
580	997	719
581	998	717
582	1000	715
583	1001	713
584	1002	711
585	1005	710
586	1006	708
587	1008	706
588	1009	704
589	1011	702
590	1012	700
591	1014	699
592	1015	697
593	1017	695
594	1018	693
595	1019	691
596	1021	689
597	1022	687
598	1023	685
599	1025	683
600	1026	681
601	1028	679
602	1029	677
603	1031	676
604	1032	674
605	1033	672
606	1035	670
607	1036	668
608	1038	666
609	1039	664
610	1040	662
611	1042	660
612	1043	658
613	1045	657
614	1046	655
615	1047	653
616	1049	651
617	1050	649
618	1051	647
619	1053	645
620	1054	643
621	1055	641
622	1057	639
623	1059	638
624	1060	636
625	1062	634
626	1063	632
627	1065	630
628	1066	629
629	1067	627
630	1069	625
631	1070	623
632	1071	621
633	1073	619
634	1074	617
635	1076	616
636	1077	614
637	1079	612
638	1080	610
639	1081	608
640	1082	606
641	1084	604
642	1085	602
643	1086	600
644	1088	599
645	1090	597
646	1091	595
647	1092	593
648	1094	591
649	1095	589
650	1096	587
651	1098	586
652	1099	584
653	1100	582
654	1102	580
655	1103	578
656	1104	576
657	1106	574
658	1107	573
659	1108	571
660	1110	569
661	1111	567
662	1112	565
663	1114	563
664	1115	561
665	1116	560
666	1118	558
667	1119	556
668	1121	554
669	1122	552
670	1124	551
671	1125	549
672	1126	547
673	1127	545
674	1129	543
675	1130	541
676	1132	540
677	1134	538
678	1135	536
679	1137	535
680	1138	533
681	1139	531
682	1140	529
683	1142	527
684	1143	525
685	1144	524
686	1146	522
687	1147	520
688	1149	518
689	1150	516
690	1152	515
691	1153	513
692	1154	511
693	1156	509
694	1157	508
695	1159	506
696	1160	504
697	1162	503
698	1164	501
699	1166	499
700	1168	498
701	1170	496
702	1171	494
703	1172	493
704	1174	491
705	1175	489
706	1176	487
707	1177	485
708	1179	484
709	1181	482
710	1183	480
711	1184	479
712	1185	477
713	1186	475
714	1188	473
715	1189	471
716	1191	470
717	1192	468
718	1194	466
719	1195	465
720	1197	463
721	1198	461
722	1200	459
723	1201	457
724	1202	456
725	1204	454
726	1205	452
727	1206	450
728	1208	449
729	1209	447
730	1211	445
731	1212	443
732	1213	442
733	1215	440
734	1216	438
735	1217	436
736	1219	435
737	1220	433
738	1221	431
739	1223	429
740	1224	428
741	1226	426
742	1227	424
743	1228	422
744	1230	421
745	1231	419
746	1232	417
747	1234	415
748	1235	414
749	1237	412
750	1238	410
751	1239	408
752	1241	407
753	1242	405
754	1244	403
755	1245	401
756	1246	400
757	1248	398
758	1249	396
759	1250	394
760	1252	393
761	1253	391
762	1255	389
763	1256	388
764	1258	386
765	1259	384
766	1260	383
767	1262	381
768	1263	379
769	1265	377
770	1266	376
771	1267	374
772	1269	372
773	1271	371
774	1272	369
775	1274	367
776	1275	366
777	1277	364
778	1278	362
779	1280	361
780	1281	359
781	1283	357
782	1284	356
783	1286	354
784	1288	352
785	1289	351
786	1290	349
787	1292	347
788	1293	346
789	1295	344
790	1296	342
791	1298	340
792	1299	339
793	1301	337
794	1303	336
795	1304	334
796	1305	332
797	1307	330
798	1308	329
799	1309	327
800	1311	325
801	1312	324
802	1313	322
803	1315	320
804	1316	319
805	1318	317
806	1319	315
807	1320	313
808	1322	312
809	1323	310
810	1324	308
811	1326	307
812	1327	305
813	1328	303
814	1330	302
815	1332	300
816	1333	298
817	1334	296
818	1335	295
819	1337	293
820	1338	291
821	1339	290
822	1340	288
823	1342	286
824	1343	284
825	1345	283
826	1346	281
827	1347	279
828	1349	278
829	1350	276
830	1351	274
831	1353	273
832	1354	271
833	1355	269
834	1357	268
835	1358	266
836	1359	264
837	1361	263
838	1363	261
839	1364	259
840	1365	258
841	1366	256
842	1368	254
843	1369	253
844	1370	251
845	1372	249
846	1373	248
847	1374	246
848	1376	244
849	1377	243
850	1379	241
851	1380	239
852	1382	238
853	1383	236
854	1384	234
855	1385	233
856	1387	231
857	1388	229
858	1389	228
859	1391	226
860	1392	224
861	1394	223
862	1395	221
863	1396	219
864	1398	218
865	1400	216
866	1401	215
867	1403	213
868	1404	211
869	1406	210
870	1407	208
871	1409	206
872	1410	205
873	1412	203
874	1413	201
875	1414	200
876	1416	198
877	1417	196
878	1418	195
879	1420	193
880	1421	192
881	1423	190
882	1425	188
883	1426	187
884	1427	185
885	1429	183
886	1430	182
887	1432	180
888	1434	179
889	1435	177
890	1437	175
891	1438	174
892	1440	172
893	1441	170
894	1442	169
895	1444	167
896	1445	165
897	1446	164
898	1448	162
899	1449	161
900	1451	159
901	1452	157
902	1454	156
903	1455	154
904	1456	152
905	1458	151
906	1460	149
907	1461	148
908	1463	146
909	1464	144
910	1466	143
911	1467	141
912	1469	139
913	1470	138
914	1471	136
915	1473	135
916	1474	133
917	1475	131
918	1477	130
919	1478	128
920	1479	126
921	1481	125
922	1483	123
923	1484	122
924	1486	120
925	1487	118
926	1488	117
927	1490	115
928	1491	113
929	1492	112
930	1494	110
931	1495	109
932	1497	107
933	1498	105
934	1499	104
935	1501	102
936	1502	101
937	1504	99
938	1505	97
939	1506	96
940	1508	94
941	1509	92
942	1510	91
943	1511	89
944	1513	88
945	1515	86
946	1516	84
947	1517	83
948	1519	81
949	1520	80
950	1521	78
951	1523	76
952	1524	75
953	1525	73
954	1527	71
955	1529	70
956	1530	68
957	1531	67
958	1533	65
959	1534	63
960	1535	62
961	1537	60
962	1538	59
963	1539	57
964	1540	55
965	1542	54
966	1544	52
967	1545	51
968	1547	49
969	1548	47
970	1549	46
971	1551	44
972	1552	43
973	1553	41
974	1555	39
975	1556	38
976	1558	36
977	1560	35
978	1561	33
979	1563	31
980	1564	30
981	1565	28
982	1567	27
983	1568	25
984	1569	23
985	1570	22
986	1572	20
987	1573	19
988	1575	17
989	1576	15
990	1578	14
991	1579	12
992	1580	11
993	1581	9
994	1583	7
995	1584	6
996	1585	4
997	1586	3
998	1588	1
999	1590	0
